Latitude cane,GJ net cane energy per GJ NPP,Ha cane,Ha cane normalized to max
-15.458,0.95530499,9019.4,0.0721552
-15.542,0.997043923,8972,0.071776
-15.625,1.025815466,9639.2,0.0771136
-15.708,0.983142876,7395.2,0.0591616
-15.792,0.963549092,9807.9,0.0784632
-15.875,1.005315927,9245.2,0.0739616
-15.958,0.993906849,12202,0.097616
-16.042,1.031488958,10778,0.086224
-16.125,1.033604954,7746,0.061968
-16.208,1.003280588,8961.1,0.0716888
-16.292,1.004750924,10931,0.087448
-16.375,1.002369878,11237,0.089896
-16.458,1.073851774,9855.3,0.0788424
-16.542,1.136005824,8094.9,0.0647592
-16.625,1.206190996,5013.8,0.0401104
-16.708,1.266578163,3993.8,0.0319504
-16.792,1.343079511,4445.8,0.0355664
-16.875,1.37079608,4904.6,0.0392368
-16.958,1.233614768,6244,0.049952
-17.042,1.184795825,8007.3,0.0640584
-17.125,1.178214467,7864.6,0.0629168
-17.208,1.119430823,8838.1,0.0707048
-17.292,1.093206738,9431.4,0.0754512
-17.375,1.156100721,9875.4,0.0790032
-17.458,1.117327851,10781,0.086248
-17.542,1.045916534,12391,0.099128
-17.625,0.973366027,17897,0.143176
-17.708,0.969145319,20089,0.160712
-17.792,0.989432143,20273,0.162184
-17.875,1.034589724,18093,0.144744
-17.958,1.013341007,18532,0.148256
-18.042,1.048054096,15740,0.12592
-18.125,1.078527612,11165,0.08932
-18.208,1.141814269,9617.3,0.0769384
-18.292,1.153573321,12026,0.096208
-18.375,1.200936898,12114,0.096912
-18.458,1.149355095,15738,0.125904
-18.542,1.179081849,17152,0.137216
-18.625,1.16304511,11911,0.095288
-18.708,1.114419406,15992,0.127936
-18.792,1.120379104,14896,0.119168
-18.875,1.188997394,11499,0.091992
-18.958,1.339470122,9928.6,0.0794288
-19.042,1.429062198,8661.9,0.0692952
-19.125,1.361938903,7184.4,0.0574752
-19.208,1.383730671,11658,0.093264
-19.292,1.334903501,11483,0.091864
-19.375,1.310309289,11444,0.091552
-19.458,1.252377688,9018.6,0.0721488
-19.542,1.248857194,8898.5,0.071188
-19.625,1.270569925,18462,0.147696
-19.708,1.218014799,18928,0.151424
-19.792,1.139944857,19314,0.154512
-19.875,1.234714604,18524,0.148192
-19.958,1.204576003,28182,0.225456
-20.042,1.13257511,44139,0.353112
-20.125,1.12325404,52704,0.421632
-20.208,1.137059855,53151,0.425208
-20.292,1.203017386,45811,0.366488
-20.375,1.232472899,44729,0.357832
-20.458,1.177421934,53703,0.429624
-20.542,1.11851636,68130,0.54504
-20.625,1.116614875,77859,0.622872
-20.708,1.151197627,89191,0.713528
-20.792,1.132795436,97765,0.78212
-20.875,1.124207365,89816,0.718528
-20.958,1.125558623,97505,0.78004
-21.042,1.156961529,1.01E+05,0.808
-21.125,1.204010958,97965,0.78372
-21.208,1.219224054,1.06E+05,0.848
-21.292,1.229266217,1.14E+05,0.912
-21.375,1.233353039,1.25E+05,1
-21.458,1.234043183,1.16E+05,0.928
-21.542,1.260900387,1.05E+05,0.84
-21.625,1.308600191,85899,0.687192
-21.708,1.249030525,90922,0.727376
-21.792,1.271627318,83579,0.668632
-21.875,1.274815913,90340,0.72272
-21.958,1.270217132,94964,0.759712
-22.042,1.260539748,71156,0.569248
-22.125,1.256831603,70626,0.565008
-22.208,1.240660747,70199,0.561592
-22.292,1.258348339,75825,0.6066
-22.375,1.26543274,86000,0.688
-22.458,1.205944435,83502,0.668016
-22.542,1.223030403,99906,0.799248
